"filename", "language", "Groovy", "Java Properties", "XML", "Batch", "Java", "comment", "blank", "total"
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\drawable\baseline_location_on_24.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\drawable\baseline_more_vert_24.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\drawable\baseline_my_location_24.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\drawable\baseline_notifications_active_24.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\drawable\baseline_person_24.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\drawable\edittext_background.xml", "XML", 0, 0, 12, 0, 0, 0, 3, 15
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 31, 0, 0, 0, 0, 31
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\drawable\location_from.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\drawable\round_white.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 5
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\drawable\round_yellow.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 5
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\layout\activity_home_page.xml", "XML", 0, 0, 123, 0, 0, 0, 22, 145
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 76, 0, 0, 0, 5, 81
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\layout\activity_maps.xml", "XML", 0, 0, 23, 0, 0, 0, 2, 25
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\layout\activity_notify_page.xml", "XML", 0, 0, 38, 0, 0, 0, 5, 43
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\layout\activity_order_detail.xml", "XML", 0, 0, 234, 0, 0, 0, 42, 276
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\layout\activity_profile.xml", "XML", 0, 0, 51, 0, 0, 0, 8, 59
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\layout\bottom_sheet_dialog.xml", "XML", 0, 0, 95, 0, 0, 0, 13, 108
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\layout\component_item_order.xml", "XML", 0, 0, 120, 0, 0, 0, 21, 141
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\layout\dialog_map.xml", "XML", 0, 0, 66, 0, 0, 0, 10, 76
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\layout\item_notify.xml", "XML", 0, 0, 36, 0, 0, 0, 4, 40
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 4
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 4
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\values-night\themes.xml", "XML", 0, 0, 4, 0, 0, 3, 0, 7
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\values\colors.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 5
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\values\strings.xml", "XML", 0, 0, 10, 0, 0, 0, 0, 10
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\values\themes.xml", "XML", 0, 0, 5, 0, 0, 3, 1, 9
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\xml\backup_rules.xml", "XML", 0, 0, 3, 0, 0, 10, 0, 13
"d:\School\ProjectFinal\mock-project\app\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 0, 5, 0, 0, 14, 0, 19
"d:\School\ProjectFinal\mock-project\app\app\src\test\java\com\example\shippingapp\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 9, 5, 3, 17
"d:\School\ProjectFinal\mock-project\app\build.gradle", "Groovy", 5, 0, 0, 0, 0, 1, 0, 6
"d:\School\ProjectFinal\mock-project\app\gradle.properties", "Java Properties", 0, 4, 0, 0, 0, 18, 0, 22
"d:\School\ProjectFinal\mock-project\app\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 5, 0, 0, 0, 1, 1, 7
"d:\School\ProjectFinal\mock-project\app\gradlew.bat", "Batch", 0, 0, 0, 68, 0, 0, 22, 90
"d:\School\ProjectFinal\mock-project\app\settings.gradle", "Groovy", 17, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 81, 9, 1105, 68, 1406, 146, 631, 3446
